registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N342DU,55451,,Airbus A220,csr,220-371,Active,04/08/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N342NB,1746,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N342NW,381,,Airbus A320,a320,320-212,Parked,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N343DN,8200,,Airbus A321,a321,321-211,Active,18/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N343DU,55454,,Airbus A220,csr,220-371,Active,30/06/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N343NB,1752,,Airbus A319,a319,319-114,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N343NW,387,,Airbus A320,a320,320-212,Active,22/11/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N344DN,8171,,Airbus A321,a321,321-211,Active,13/04/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N344DU,55462,,Airbus A220,csr,220-371,Active,17/07/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N344NB,1766,,Airbus A319,a319,319-114,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N344NW,388,,Airbus A320,a320,320-212,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N345DN,8191,,Airbus A321,a321,321-211,Active,30/04/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N345DU,55469,,Airbus A220,csr,220-371,Active,19/08/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N345NB,1774,,Airbus A319,a319,319-114,Active,07/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N345NW,399,,Airbus A320,a320,320-212,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N346DN,8227,,Airbus A321,a321,321-211,Active,10/04/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N346NB,1796,,Airbus A319,a319,319-114,Active,29/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N347DN,8250,,Airbus A321,a321,321-211,Active,12/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N347NB,1800,,Airbus A319,a319,319-114,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N347NW,408,,Airbus A320,a320,320-212,Active,01/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N348DN,8258,,Airbus A321,a321,321-211,Active,16/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N348NB,1810,,Airbus A319,a319,319-114,Active,01/02/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N348NW,410,,Airbus A320,a320,320-212,Active,27/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N349DX,8233,,Airbus A321,a321,321-211,Active,25/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N349NB,1815,,Airbus A319,a319,319-114,Active,15/03/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N349NW,417,,Airbus A320,a320,320-212,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
